PantoneTC,NodeName,Pantone,RGBTriple,Description,QUESTColor,QUESTCode
"001","001 OCRE","OCRE","(204,119,34)","OCRE","OCRE","001"
"002","002 INDIGO","INDIGO","(75,0,130)","INDIGO","INDIGO","002"
"003","003 LILA","LILA","(200,162,200)","LILA","LILA","003"
"004","004 ARENA","ARENA","(236,226,198)","ARENA","ARENA","004"
"005","005 CIRUELA","CIRUELA","(221,160,221)","CIRUELA ","CIRUELA","005"
"006","006 BERENJENA","BERENJENA","(153,0,102)","BERENJENA","BERENJENA","006"
"007","007 UVA","UVA","(88,85,104)","UVA","UVA","007"
"008","008 FUCSIA","FUCSIA","(255,0,255)","FUCSIA","FUCSIA","008"
"009","009 AZUL CLARO","AZUL CLARO","(173,216,230)","AZUL CLARO","AZUL CLARO","009"
"010","010 AMARILLO","AMARILLO","(255,255,0)","AMARILLO","AMARILLO","010"
"011","011 NARANJA","NARANJA","(255,128,0)","NARANJA","NARANJA","011"
"012","012 ROJO","ROJO","(255,0,0)","ROJO","ROJO","012"
"013","013 MORADO","MORADO","(87,35,100)","MORADO","MORADO","013"
"014","014 ROSADO","ROSADO","(255,20,147)","ROSADO","ROSADO","014"
"015","015 AZUL MEDIO","AZUL MEDIO","(50,50,205)","AZUL MEDIO","AZUL MEDIO","015"
"016","016 AZUL OSCURO","AZUL OSCURO","(0,0,156)","AZUL OSCURO","AZUL OSCURO","016"
"017","017 VERDE","VERDE","(0,255,0)","VERDE","VERDE","017"
"018","018 BLANCO","BLANCO","(255,255,255)","BLANCO","BLANCO","018"
"019","019 NEGRO","NEGRO","(0,0,0)","NEGRO","NEGRO","019"
"020","020 GRIS CLR","GRIS CLR","(156,156,156)","GRIS CLR","GRIS CLR","020"
"021","021 BEIGE","BEIGE","(245,245,220)","BEIGE","BEIGE","021"
"022","022 KAKI","KAKI","(240,230,140)","KAKI","KAKI","022"
"023","023 CAFÉ","CAFÉ","(75,54,33)","CAFÉ","CAFÉ","023"
"024","024 PLATEADO","PLATEADO","(192,192,192)","PLATEADO","PLATEADO","024"
"025","025 DORADO","DORADO","(255,215,0)","DORADO","DORADO","025"
"031","031 VERDE MARINO","VERDE MARINO","(4,204,173)","VERDE MARINO","VERDE MARINO","031"
"032","032 VERDE MANZANA ","VERDE MANZANA","(156,229,5)","VERDE MANZANA","VERDE MANZANA","032"
"033","033 NEGRO NEGRO","NEGRO NEGRO","(10,10,10)","NEGRO NEGRO","NEGRO NEGRO","033"
